level,study_type,profession,start_time,phone_artifact,flight_airport,travel_soap,possession_popcorn,music_jazz,investigation_operation,fertility_crane,radio_music,gem_jewel,drug_alcohol,professor_currency,motto_Jackson,number_equipment,archive_bird,war_journal,troops_personnel,round_Jerusalem,minister_bishop,ministry_government,artifact_object,governor_jazz,practice_law,collection_memorabilia,fertility_hotel,size_environment,science_scientist,video_problem,defeating_discipline,gin_alcohol,year_century,end_time
wo,beta,Student Artificial Intelligence,2019-02-20 20:56:46,9,4,0,5,1,6,4,7,0,0,9,1,9,0,2,9,9,8,1,0,1,3,8,8,3,7,1,7,8,8,2019-02-20 20:58:36
wo,gamma,Business Analyst,2019-02-20 20:55:36,7,8,0,9,2,1,2,8,0,0,8,0,9,0,4,9,10,7,0,0,0,2,10,8,2,5,0,6,6,10,2019-02-20 20:58:47
wo,beta,Technisch Informatica,2019-02-20 20:57:21,9,5,2,3,0,1,7,9,2,0,8,2,9,8,3,9,8,9,3,0,1,6,10,9,2,7,0,8,7,9,2019-02-20 20:59:34
wo,beta,industrial design,2019-02-20 20:59:52,9,6,5,3,1,8,7,8,1,1,8,4,7,5,4,7,5,7,1,1,3,4,6,7,4,6,2,6,10,8,2019-02-20 21:02:14
wo,beta,PhD in photonics,2019-02-20 20:56:37,9,5,5,6,0,3,3,7,0,1,8,1,10,3,7,10,7,5,0,0,0,5,10,8,7,5,0,6,8,9,2019-02-20 21:02:29
hbo,gamma,Special education teacher,2019-02-20 21:04:23,9,6,1,7,2,1,7,8,5,0,9,7,9,1,8,8,9,9,2,1,2,2,10,8,6,8,1,7,7,9,2019-02-20 21:06:18
hbo,NA,Student,2019-02-20 21:04:52,8,2,0,7,0,7,6,9,2,0,10,0,10,8,7,10,10,10,6,0,2,8,10,9,7,7,1,6,9,10,2019-02-20 21:06:55
wo,beta,Game and Media Technology,2019-02-20 21:04:22,10,7,2,5,0,7,0,2,0,0,10,0,10,6,7,10,10,7,1,0,0,3,9,7,2,6,5,7,7,10,2019-02-20 21:08:58
wo,alpha,Linguistics student,2019-02-20 21:13:34,9,8,0,2,0,3,0,7,0,0,8,5,9,7,3,9,10,8,0,0,0,2,9,9,1,5,0,8,10,9,2019-02-20 21:16:20
hbo,alpha,Physical Therapy,2019-02-20 21:10:25,9,3,6,7,1,1,6,7,0,1,9,1,10,1,7,9,9,9,3,1,1,3,10,8,8,8,1,8,6,10,2019-02-20 21:21:48
mbo,gamma,MBO student/ Home care,2019-02-20 21:37:08,0,0,5,10,0,10,0,0,0,0,10,0,10,0,0,10,10,10,0,0,0,0,10,10,0,0,0,10,10,10,2019-02-20 21:40:24
hbo,beta,Applied physics-> Enigineer @ tech company,2019-02-20 21:44:54,8,7,3,6,0,3,4,8,3,2,9,3,10,7,5,9,10,8,7,2,3,4,10,8,8,8,1,7,8,9,2019-02-20 21:51:05
wo,beta,CompSci,2019-02-20 21:48:59,9,2,1,7,1,4,2,8,3,1,8,2,9,5,6,9,8,6,5,3,2,5,9,9,4,6,5,7,7,8,2019-02-20 21:51:23
